transaction_id,timestamp,blockchain,transaction_type,sender_wallet_age_days,receiver_wallet_age_days,transaction_amount_usd,gas_fee_usd,token_type,platform,num_prev_transactions_sender,num_prev_transactions_receiver,avg_txn_interval_sender_min,is_cross_chain,failed_txn_ratio_sender,velocity_score,anomaly_score,is_scam,hour,day_of_week,time_gap
TX011053,1703327708.0,Solana,Mint,587.0,651.0,680.18,11.78,Stablecoin,BridgeX,1214.0,1017.0,105.2,1,0.09,0.0,0.05,0,,,
TX012755,1704926423.0,Solana,Burn,297.0,141.0,133.5,22.62,Native,Coinbase,1153.0,1022.0,126.7,0,0.16,0.01,0.12,0,,,
TX005774,1701104315.0,Ethereum,Swap,353.0,2.0,482.33,10.91,Stablecoin,Kraken,1218.0,1005.0,59.8,0,0.09,-0.02,0.0,0,,,
TX009298,1703727661.0,BSC,Mint,466.0,248.0,732.95,16.73,Native,Coinbase,1203.0,1030.0,227.1,0,0.09,-0.03,0.0,0,,,
TX013865,1701850827.0,Ethereum,Transfer,102.0,653.0,665.68,3.75,ERC20,OpenSea,1147.0,1011.0,72.5,0,0.13,0.02,0.06,0,,,
TX009677,1702070569.0,BSC,Swap,1861.0,127.0,652.09,3.66,Stablecoin,Binance,1228.0,997.0,141.0,1,0.1,0.01,0.0,0,,,
TX019974,1701945640.0,Polygon,Transfer,79.0,5.0,184.62,13.58,Stablecoin,Binance,1206.0,1011.0,365.1,0,0.08,-0.03,0.06,0,,,
TX002193,1700403082.0,BSC,Swap,710.0,247.0,560.2,11.74,Native,BridgeX,1211.0,996.0,289.7,0,0.07,0.09,0.0,0,,,
TX016920,1704607741.0,Ethereum,Mint,11.0,580.0,691.03,16.86,Stablecoin,Kraken,1212.0,1035.0,273.9,0,0.2,-0.02,0.11,1,,,
TX002611,1701224744.0,Ethereum,Transfer,856.0,803.0,200.96,11.32,Native,Unknown Wallet,1135.0,1038.0,607.1,0,0.09,0.04,0.0,0,,,
TX013133,1702930424.0,Polygon,Transfer,152.0,356.0,1108.28,4.12,Meme,Binance,1139.0,1001.0,29.1,0,0.18,0.01,0.06,0,,,
TX011663,1701770358.0,BSC,Transfer,827.0,1090.0,515.6,15.76,Meme,Unknown DEX,1267.0,981.0,89.5,0,0.03,-0.03,0.03,0,,,
TX012937,1702107154.0,Polygon,Mint,118.0,582.0,409.5,1.18,Stablecoin,Coinbase,1224.0,957.0,415.9,0,0.15,-0.04,0.0,0,,,
TX003310,1700984156.0,Ethereum,Mint,121.0,475.0,700.73,4.85,ERC20,Kraken,1213.0,1059.0,118.6,0,0.03,0.04,0.25,0,,,
TX017087,1701545805.0,Ethereum,Transfer,885.0,990.0,1953.03,2.87,Meme,Kraken,1213.0,1011.0,50.8,0,0.27,-0.05,0.17,0,,,
TX005872,1702108701.0,Ethereum,Transfer,1462.0,324.0,1557.15,10.42,ERC20,Kraken,1182.0,992.0,325.9,0,0.15,-0.01,0.07,0,,,
TX016278,1700645148.0,Solana,Transfer,821.0,411.0,1055.78,3.57,Meme,Coinbase,1241.0,1036.0,102.8,0,0.21,-0.05,0.04,0,,,
TX000274,1701983509.0,BSC,Swap,304.0,636.0,1590.15,50.29,Meme,Coinbase,1239.0,1003.0,39.6,0,0.06,-0.05,0.0,0,,,
TX004638,1700407407.0,Ethereum,Burn,1211.0,1011.0,92.32,4.7,ERC20,Coinbase,1226.0,1001.0,228.6,1,0.14,0.03,0.21,0,,,
TX009883,1704111932.0,Ethereum,Bridge,702.0,367.0,257.38,4.07,Native,BridgeX,1208.0,988.0,54.5,0,0.19,0.04,0.15,0,,,
