blockchain,transaction_type,sender_wallet_age_days,receiver_wallet_age_days,transaction_amount_usd,gas_fee_usd,token_type,platform,num_prev_transactions_sender,num_prev_transactions_receiver,avg_txn_interval_sender_min,is_cross_chain,failed_txn_ratio_sender,velocity_score,anomaly_score,is_scam,hour,day_of_week,time_gap
Ethereum,Mint,-0.0022631050344257796,0.32730989656360043,0.02132994385234235,0.1533029951630442,ERC20,OpenSea,0.37539251703069404,0.5448196077702093,0.17066467613194777,0,0.3569213675544641,0.2062253036131789,0.10035143006951366,1,9,2,0.02086172564989297
BSC,Transfer,0.03537615709968012,0.0860903608822069,0.04480477936845711,0.008254275514780925,Stablecoin,Coinbase,0.39256282093747863,0.5862869130402304,0.08290729238966973,1,0.6416277031339126,0.5193872592478023,0.7878449849694835,1,19,6,-0.03132513355649105
Solana,Mint,-0.00973265559140616,0.04887840308548951,0.12512090376819984,0.12104182162036664,Native,Kraken,0.4502700476341656,0.546100230640754,0.11329678509921859,0,0.48390549876640904,0.2776635985433468,0.5590058353624504,1,8,1,0.22530360207055342
BSC,Mint,0.16356498949427872,0.10151953913207301,-0.010775715024714562,0.02926800276183683,Native,Coinbase,0.2515965426874323,0.40816521671923345,0.05828270523552745,1,0.28804870315561404,0.18500937671632348,0.5054542135276089,1,14,3,0.20395542659712015
BSC,Burn,-0.009797987714736885,0.5598738780471619,-0.01259073939460379,0.0024698764466610096,Meme,OpenSea,0.42412005409169734,0.39399169482927915,0.09890448846345118,1,0.3817363896319295,0.05852425245526113,0.4915441200302863,1,19,6,0.1491561474159286
Polygon,Transfer,0.20850125374408046,0.03836762602968806,0.04238910925539546,0.20165895567854572,Meme,Kraken,0.18685201625186398,0.14632594362113227,0.02080166911705777,1,0.15605091170730442,0.005515463202529047,0.0246783870462966,1,0,2,0.04039510169250418
Polygon,Swap,0.042711696997762894,0.46309681120609614,-0.006003443055896784,0.07753269581763401,Native,Unknown DEX,0.49388705101963765,0.5668332459688294,-0.005759008407143742,1,0.40802178945205547,0.2417853319072197,0.20829930945771197,1,1,4,-0.0008517799050786826
Ethereum,Mint,-0.020549296760625977,0.22099845327112794,0.125761478165112,0.09269294174845025,ERC20,Unknown DEX,0.20405643453169953,0.010195859497539317,0.03817441506529419,1,0.3867763318748443,0.17851214627484915,0.50780063944726,1,14,3,0.044122860510999035
Ethereum,Mint,0.21832720703787326,0.25534091034854905,0.013273829428883416,0.01885346504828972,ERC20,Coinbase,0.12148519234225802,0.5420805509584008,0.09179673106128214,1,0.7949641834001138,0.5869849156598342,0.2793012682054351,1,14,6,0.03812512964158002
Solana,Swap,-0.009782719358286791,0.11712664703651002,0.0679920517746533,0.30136274556742065,ERC20,Kraken,0.30077600352186806,0.21845474309083104,0.2525015591887423,0,0.639660375661481,0.27044753503691,0.3467676071371983,1,9,0,0.16239510258633913
Ethereum,Mint,-0.011062862851021902,-0.003060870547932526,0.0005734687155945842,0.02167218717730985,ERC20,Binance,0.3333502405838599,0.220432904910019,0.10854363111252974,0,0.17470380483532488,0.2965013578244508,0.20872385459525317,1,17,2,0.07719391773397499
Solana,Burn,-0.019486602363790247,0.18499728293651066,-0.01620580522314479,-0.005541095475986385,Stablecoin,Coinbase,0.1293427338241266,0.21567089850115467,0.08759286367382925,1,0.17526950815741035,0.12571798867211575,0.45222309625250584,1,18,3,0.15627222775907085
Polygon,Mint,0.03312153610119804,0.09975029556691217,0.0961632541464852,0.04134056726039535,Native,Unknown DEX,0.4879277562784127,0.5323518387323546,0.059690064177322984,1,0.6059807985221424,0.16682614069383822,0.486703770335622,1,21,2,0.1602339914128862
BSC,Swap,0.017769679161228277,0.014600957021160453,0.02894807376527747,0.0025880215106221308,ERC20,Coinbase,0.4316262582254266,0.5302275297815188,0.11081122035513204,1,0.3932599924288447,0.32617052954306147,0.05549628002537759,1,15,1,0.0029331947582892093
Ethereum,Mint,0.12199617951703569,0.10522565012475764,-0.009607699347542041,-0.01072158924201945,Meme,BridgeX,0.2875963494017985,0.3319755233256582,0.029174566148926308,1,0.8950724090696222,0.23138715786652767,0.07214001286552311,1,4,2,-0.010356009123315302
BSC,Transfer,0.18001489746367533,0.17752396392224,0.02434583852633182,0.018095571690140158,Native,Coinbase,0.02260262806572344,0.3164444792458805,0.14046145638081803,0,0.47293359636866916,0.1134415705548743,0.27539384344560053,1,23,5,0.0038476036964676837
Ethereum,Bridge,0.06570139475969802,0.007131470989529699,0.0694121971722773,0.14124753965604156,Meme,Kraken,0.3303177357190936,0.41673902396229895,0.018926687634009412,0,0.4755527514570254,0.178292773971754,-0.009536783066712044,1,18,0,-0.022635425054624694
Ethereum,Transfer,-0.01718091883276023,0.14983410214890847,-0.010807776657508976,-0.012051913524665975,Stablecoin,Binance,0.18433344177196886,0.27325152570963007,0.391241686446992,0,0.47816321810476875,0.015887872744387355,0.6031750432077897,1,3,3,0.10566689819170792
Ethereum,Burn,0.003951992468370659,0.024478150278447103,-0.008449739657132749,0.13396201386591614,ERC20,OpenSea,0.28183985108047793,0.17421384365869003,0.12005620317384424,1,0.5009743548782266,0.3716540339010843,0.5081781810427675,1,5,5,0.221971721002418
Ethereum,Burn,0.26389184295219803,0.4605118565980162,0.06768588316641995,0.2731947989871046,Native,Binance,0.1401622557496778,0.5610286007678944,0.12797367253404832,1,0.5607484252105066,0.3984455407825971,-0.0003380032600372278,1,2,0,0.18720045063032253
Solana,Transfer,-0.016156441617240284,-0.007847440016653273,-0.014751584360734211,-0.011441044246884559,Stablecoin,Binance,0.3043435524422783,0.3703176759085791,0.2464643340602243,0,0.5005715199752252,0.09365680153319039,-0.0022782077769623234,1,13,5,0.09611094439110737
Ethereum,Burn,-0.011409980028682154,0.029278542003763786,-0.008854228382288422,0.0123476933034051,Stablecoin,Binance,0.5219868194851794,0.7316731022807892,0.0519450512010432,0,0.21743324390682492,-0.11891090927246778,0.17371420741310034,1,14,0,0.11748729256286342
Polygon,Swap,-0.0055933682365974895,0.02389869241032648,0.033410946386776094,0.019296314285479774,Meme,Unknown DEX,0.3531208078980956,0.21513530527242425,0.10642377171018749,1,0.8162006860974503,0.03806429870942363,0.04889730414986168,1,16,2,-0.0027016266631077757
Ethereum,Mint,-0.019846549947865107,-0.001247585513804994,0.042517090253879807,0.06977198484163245,Native,Kraken,0.49133395294142734,0.4423989959371966,0.20358355854104263,1,0.2098843762449098,0.33670453878894463,0.33556999973299007,1,2,4,0.04938865626077794
Polygon,Swap,-0.024071824726229214,0.09359229117838051,0.005123842340776279,0.003917530053311982,Native,OpenSea,0.20971660344123227,0.4469962118543861,0.05944412504508151,0,0.6121177910474387,-0.02865818998538483,0.25850502831571565,1,15,6,0.07370035540925103
Ethereum,Burn,-0.016704263185872634,-0.010832299242906643,0.023146119893492294,0.019768904177232254,Stablecoin,Unknown DEX,0.386822061405053,0.5176598076279779,0.09146599621030926,0,-0.0024283941605290765,0.28550582792216395,0.9980061744140368,1,13,2,0.4391853227856549
Polygon,Burn,-0.002196525251052628,0.08019786300408793,0.4079375059942459,0.043257964657903054,Meme,Kraken,0.014715893884384657,0.4662175864728831,0.02843771591328842,0,0.3585812503676673,-0.007909913685186676,0.1718531331579198,1,17,4,0.26602944035977805
Solana,Bridge,-0.013185954416837137,0.07837491888928577,0.11040324443561743,0.060966044689382354,Stablecoin,Unknown DEX,0.5101152790236967,0.2065372219905373,0.09755527527223273,1,0.4953494914351727,0.246043235467864,0.1884718497404343,1,6,1,0.09635378813261347
BSC,Burn,0.1793929434779704,0.1412295936969118,0.053382906245449176,-0.015556544754599125,Native,Binance,0.46335116308383617,0.4421940214653514,0.13379398683859953,0,0.4437511082846748,0.05206293552465674,0.03823677745608738,1,23,5,0.04446066295907103
Polygon,Transfer,-0.012832859015368347,-0.027283140050321945,0.09069956900886213,0.192931449740701,Stablecoin,Coinbase,-0.0037198734355905483,0.6273968875832542,0.10099689313351286,1,0.7234730587555067,0.38706427656035836,0.05312032269142997,1,19,4,0.0607453332097494
Ethereum,Transfer,-0.01319961064025111,0.1821965910223931,-0.00048277030185246705,-0.023963279896074753,Native,Unknown DEX,0.2824431450065052,0.5054921434692733,0.2361387506965809,1,0.20660156041209737,0.179676252183671,0.03998256430546226,1,10,3,0.08931328516153131
Ethereum,Swap,0.026043562882587648,0.15633932833107786,-0.01496811682427529,0.012872705282965146,Stablecoin,Unknown Wallet,0.6436488473827398,0.005064204237753445,0.16614183213818984,1,0.3950861446083751,0.3081554565072578,0.2572212578963596,1,4,3,0.04452465184654679
Ethereum,Burn,0.23525212905251996,0.5970578117671557,-0.016361508899307854,-0.008816924563287296,ERC20,Kraken,0.45930522080821046,0.21323175151467746,0.22128639878647863,0,0.9458663798894826,0.3991195488223099,0.49106278838928563,1,3,0,0.07282881277388877
Ethereum,Swap,0.0686938471412933,0.22898718454453845,0.018959129093363575,0.035606972400342544,Meme,BridgeX,0.5489860697932178,0.5131821614085839,0.08669216713709912,1,0.575752058283846,0.7138091902913977,0.8407403521757065,1,19,2,0.24925156214621183
Solana,Bridge,0.3879138482460256,0.21397706569629824,0.014742406278820076,0.07995003067462786,ERC20,Unknown DEX,0.3559207602106479,0.7784573763064907,0.09343259019307965,1,0.7658141922706476,0.21750537603819092,0.4599402360912681,1,19,2,0.11449941362508353
Polygon,Bridge,0.06797754701182034,-0.04703160115511995,0.03139097068542328,0.050929977284088046,Meme,Binance,0.44362426468417293,0.2796408616256588,0.12731149501516822,1,0.22972694419710263,0.2669868898468568,0.3406386511795673,1,22,0,0.0740851463636839
BSC,Swap,0.20601337536473424,0.0774028492207608,0.1262590694392984,0.029671664993622324,ERC20,BridgeX,0.4063025679793907,-0.06625399397368043,0.04269078991490176,1,0.28349847293002506,0.5924434277502075,0.350770304047033,1,13,3,0.0637780285064049
Polygon,Transfer,0.5420122375082915,0.10118583818425406,0.018378805084201602,0.07258296859168549,Meme,OpenSea,0.6344717979284394,0.5311633382578957,0.12939361963861074,1,0.43599761337256926,0.5150714986352308,0.7981006993795985,1,12,3,0.0650138166391336
Ethereum,Burn,0.2424466653310494,0.09231794598184888,0.01228767016114098,0.10672840279330198,Stablecoin,OpenSea,0.4067201910984256,0.23726845750441403,0.5324550089713249,0,0.3928357026396314,0.1051649960645929,0.7924647156827367,1,17,4,0.06043949511715367
Ethereum,Transfer,0.15044764081340462,0.3252521762519226,0.04228128205071299,0.04632240986804264,Native,Unknown DEX,0.31107892345859417,0.1792533133445418,0.03870315602468437,1,0.5608153461250298,0.3941673581019463,0.07685404338843334,1,18,1,0.14795907280824197
